9.8,1044.55,52,"[8.884374999999999, 1256.5793750000003]"
10.0,1067.66,53,"[8.884374999999999, 1256.5793750000003]"
9.9,1110.38,50,"[8.884374999999999, 1256.5793750000003]"
9.8,1089.16,50,"[8.884374999999999, 1256.5793750000003]"
9.9,1152.05,49,"[8.884374999999999, 1256.5793750000003]"
9.6,1125.06,48,"[8.884374999999999, 1256.5793750000003]"
9.4,1083.36,46,"[8.884374999999999, 1256.5793750000003]"
9.4,1079.8,46,"[8.884374999999999, 1256.5793750000003]"
9.5,1087.28,44,"[8.884374999999999, 1256.5793750000003]"
9.4,1171.58,45,"[8.884374999999999, 1256.5793750000003]"
9.8,1198.89,45,"[8.884374999999999, 1256.5793750000003]"
9.3,1241.53,46,"[8.884374999999999, 1256.5793750000003]"
9.2,1282.62,49,"[8.884374999999999, 1256.5793750000003]"
9.0,1304.49,47,"[8.884374999999999, 1256.5793750000003]"
9.0,1338.31,50,"[8.884374999999999, 1256.5793750000003]"
9.1,1287.29,46,"[8.884374999999999, 1256.5793750000003]"
9.0,1325.19,44,"[8.884374999999999, 1256.5793750000003]"
9.0,1185.31,41,"[8.884374999999999, 1256.5793750000003]"
9.0,1173.88,41,"[8.884374999999999, 1256.5793750000003]"
8.6,1226.42,43,"[8.884374999999999, 1256.5793750000003]"
8.5,1243.32,43,"[8.884374999999999, 1256.5793750000003]"
8.3,1300.58,45,"[8.884374999999999, 1256.5793750000003]"
8.3,1352.49,45,"[8.884374999999999, 1256.5793750000003]"
8.2,1389.24,46,"[8.884374999999999, 1256.5793750000003]"
8.2,1386.43,47,"[8.884374999999999, 1256.5793750000003]"
8.2,1341.27,47,"[8.884374999999999, 1256.5793750000003]"
8.2,1323.48,46,"[8.884374999999999, 1256.5793750000003]"
8.0,1403.45,45,"[8.884374999999999, 1256.5793750000003]"
7.8,1437.82,50,"[8.884374999999999, 1256.5793750000003]"
7.7,1394.51,51,"[8.884374999999999, 1256.5793750000003]"
7.7,1512.31,51,"[8.884374999999999, 1256.5793750000003]"
7.5,1550.83,48,"[8.884374999999999, 1256.5793750000003]"
7.6,1570.7,49,"[6.38, 1876.5674999999999]"
7.5,1618.77,47,"[6.38, 1876.5674999999999]"
7.3,1668.68,46,"[6.38, 1876.5674999999999]"
7.2,1670.09,45,"[6.38, 1876.5674999999999]"
7.2,1720.03,44,"[6.38, 1876.5674999999999]"
7.0,1783.54,41,"[6.38, 1876.5674999999999]"
6.7,1807.78,41,"[6.38, 1876.5674999999999]"
6.6,1822.36,41,"[6.38, 1876.5674999999999]"
6.7,1817.04,42,"[6.38, 1876.5674999999999]"
6.2,1864.26,44,"[6.38, 1876.5674999999999]"
6.1,1947.09,42,"[6.38, 1876.5674999999999]"
6.2,1973.1,42,"[6.38, 1876.5674999999999]"
6.1,1961.53,42,"[6.38, 1876.5674999999999]"
5.9,1993.23,42,"[6.38, 1876.5674999999999]"
5.7,1937.27,41,"[6.38, 1876.5674999999999]"
5.6,2054.27,44,"[6.38, 1876.5674999999999]"
5.7,2028.18,47,"[6.38, 1876.5674999999999]"
5.5,2082.2,46,"[6.38, 1876.5674999999999]"
5.5,2111.94,47,"[6.38, 1876.5674999999999]"
5.3,2099.29,46,"[6.38, 1876.5674999999999]"
